,C,JPM,USB,WFC,BAC,MS
20140625 20:17:44,43.14,46.79,57.38,52.0,15.54,32.1
20140625 20:17:45,43.09,46.79,57.38,52.02,15.54,32.1
20140625 20:17:46,43.09,46.79,57.38,52.01,15.54,32.1
20140625 20:17:47,43.09,46.79,57.38,52.0,15.54,32.1
20140625 20:17:48,43.09,46.79,57.38,52.0,15.54,32.1
20140625 20:17:49,43.09,46.79,57.38,52.0,15.54,32.1
20140625 20:17:50,43.09,46.79,57.38,52.02,15.54,32.09
20140625 20:17:51,43.09,46.79,57.39,52.02,15.54,32.09
20140625 20:17:52,43.09,46.79,57.39,52.03,15.54,32.09
20140625 20:17:53,43.09,46.79,57.39,52.03,15.54,32.11
20140625 20:17:54,43.09,46.79,57.39,52.03,15.54,32.09
20140625 20:17:55,43.09,46.79,57.39,52.03,15.54,32.09
20140625 20:17:56,43.09,46.79,57.39,52.03,15.54,32.1
20140625 20:17:57,43.09,46.79,57.39,52.02,15.54,32.1
20140625 20:17:58,43.09,46.79,57.39,52.02,15.54,32.1
20140625 20:17:59,43.09,46.79,57.39,52.02,15.54,32.1
20140625 20:18:00,43.09,46.79,57.4,52.02,15.54,32.1
20140625 20:18:01,43.09,46.79,57.4,52.02,15.54,32.1
20140625 20:18:02,43.09,46.79,57.39,52.02,15.54,32.1
20140625 20:18:03,43.09,46.79,57.4,52.02,15.54,32.1
20140625 20:18:04,43.09,46.79,57.4,52.02,15.54,32.1
20140625 20:18:05,43.09,46.79,57.4,52.02,15.54,32.1
20140625 20:18:06,43.09,46.79,57.4,52.02,15.54,32.1
20140625 20:18:07,43.09,46.79,57.4,52.02,15.54,32.1
20140625 20:18:08,43.09,46.79,57.4,52.05,15.54,32.11
20140625 20:18:09,43.09,46.79,57.4,52.06,15.54,32.11
20140625 20:18:10,43.09,46.79,57.4,52.06,15.54,32.11
20140625 20:18:11,43.09,46.79,57.4,52.04,15.54,32.1
20140625 20:18:12,43.09,46.79,57.39,52.04,15.54,32.1
20140625 20:18:13,43.09,46.79,57.39,52.04,15.54,32.1
20140625 20:18:14,43.14,46.79,57.39,52.05,15.54,32.1
20140625 20:18:15,43.14,46.79,57.4,52.03,15.54,32.1
20140625 20:18:16,43.14,46.79,57.4,52.03,15.54,32.1
20140625 20:18:17,43.14,46.79,57.39,52.03,15.54,32.11
20140625 20:18:18,43.14,46.79,57.39,52.05,15.54,32.11
20140625 20:18:19,43.17,46.79,57.39,52.05,15.54,32.11
20140625 20:18:20,43.17,46.79,57.39,52.03,15.54,32.11
20140625 20:18:21,43.17,46.79,57.39,52.03,15.54,32.09
20140625 20:18:22,43.17,46.79,57.39,52.03,15.54,32.09
20140625 20:18:23,43.17,46.79,57.39,52.03,15.54,32.09
20140625 20:18:24,43.17,46.79,57.4,52.04,15.54,32.09
20140625 20:18:25,43.17,46.79,57.4,52.04,15.54,32.1
20140625 20:18:26,43.17,46.79,57.4,52.04,15.54,32.1
20140625 20:18:27,43.17,46.79,57.4,52.04,15.54,32.1
20140625 20:18:28,43.17,46.79,57.38,52.02,15.54,32.1
20140625 20:18:29,43.17,46.79,57.38,52.02,15.54,32.1
20140625 20:18:30,43.17,46.79,57.37,52.03,15.54,32.1
20140625 20:18:31,43.17,46.79,57.37,52.03,15.54,32.1
20140625 20:18:32,43.17,46.79,57.37,52.03,15.54,32.09
20140625 20:18:33,43.17,46.79,57.36,52.04,15.54,32.09
20140625 20:18:34,43.17,46.79,57.36,52.04,15.54,32.09
20140625 20:18:35,43.17,46.79,57.36,52.04,15.54,32.09
20140625 20:18:36,43.17,46.79,57.36,52.06,15.54,32.09
20140625 20:18:37,43.17,46.79,57.36,52.04,15.54,32.09
20140625 20:18:38,43.17,46.79,57.36,52.05,15.54,32.09
20140625 20:18:39,43.17,46.79,57.36,52.04,15.54,32.1
20140625 20:18:40,43.17,46.79,57.36,52.05,15.54,32.1
20140625 20:18:41,43.17,46.79,57.36,52.05,15.54,32.1
20140625 20:18:42,43.17,46.79,57.36,52.04,15.54,32.1
20140625 20:18:43,43.18,46.79,57.36,52.04,15.54,32.09
20140625 20:18:44,43.18,46.79,57.36,52.04,15.54,32.09
20140625 20:18:45,43.18,46.79,57.36,52.04,15.54,32.09
20140625 20:18:46,43.18,46.79,57.36,52.04,15.54,32.11
20140625 20:18:47,43.18,46.79,57.36,52.04,15.54,32.11
20140625 20:18:48,43.18,46.79,57.36,52.04,15.54,32.11
20140625 20:18:49,43.18,46.79,57.36,52.03,15.54,32.1
20140625 20:18:50,43.18,46.79,57.36,52.03,15.54,32.09
20140625 20:18:51,43.18,46.79,57.36,52.03,15.54,32.09
20140625 20:18:52,43.18,46.79,57.36,52.04,15.54,32.09
20140625 20:18:53,43.18,46.79,57.36,52.04,15.54,32.09
20140625 20:18:54,43.18,46.79,57.36,52.04,15.54,32.09
20140625 20:18:55,43.18,46.79,57.36,52.03,15.54,32.1
20140625 20:18:56,43.18,46.79,57.36,52.03,15.54,32.1
20140625 20:18:57,43.18,46.79,57.36,52.03,15.54,32.1
20140625 20:18:58,43.18,46.79,57.36,52.03,15.54,32.09
20140625 20:18:59,43.18,46.79,57.36,52.03,15.54,32.09
20140625 20:19:00,43.18,46.79,57.36,52.03,15.54,32.09
20140625 20:19:01,43.18,46.79,57.36,52.04,15.54,32.09
20140625 20:19:02,43.18,46.79,57.36,52.03,15.54,32.11
20140625 20:19:03,43.2,46.79,57.36,52.0,15.54,32.11
20140625 20:19:04,43.2,46.79,57.36,52.0,15.54,32.11
20140625 20:19:05,43.2,46.79,57.34,52.02,15.54,32.09
20140625 20:19:06,43.2,46.79,57.34,52.02,15.54,32.09
20140625 20:19:07,43.19,46.79,57.34,52.0,15.54,32.09
20140625 20:19:08,43.19,46.79,57.34,52.0,15.54,32.09
20140625 20:19:09,43.19,46.79,57.34,52.0,15.54,32.09
20140625 20:19:10,43.19,46.79,57.34,52.0,15.54,32.09
20140625 20:19:11,43.19,46.79,57.34,52.0,15.54,32.1
20140625 20:19:12,43.16,46.79,57.35,52.0,15.54,32.1
20140625 20:19:13,43.16,46.79,57.35,52.0,15.54,32.1
20140625 20:19:14,43.16,46.79,57.35,52.0,15.54,32.1
20140625 20:19:15,43.16,46.79,57.35,52.0,15.54,32.1
20140625 20:19:16,43.16,46.79,57.34,52.0,15.54,32.1
20140625 20:19:17,43.16,46.79,57.34,52.02,15.54,32.1
20140625 20:19:18,43.16,46.79,57.35,52.0,15.54,32.1
20140625 20:19:19,43.16,46.79,57.35,52.0,15.54,32.11
20140625 20:19:20,43.19,46.79,57.35,52.0,15.54,32.11
20140625 20:19:21,43.19,46.79,57.34,52.0,15.54,32.11
20140625 20:19:22,43.19,46.79,57.34,52.0,15.54,32.1
20140625 20:19:23,43.19,46.79,57.34,52.0,15.54,32.1
20140625 20:19:24,43.19,46.79,57.35,52.0,15.54,32.1
20140625 20:19:25,43.19,46.79,57.35,52.0,15.54,32.1
20140625 20:19:26,43.19,46.79,57.35,52.02,15.54,32.1
20140625 20:19:27,43.19,46.79,57.34,52.0,15.54,32.1
20140625 20:19:28,43.19,46.79,57.34,51.99,15.54,32.1
20140625 20:19:29,43.19,46.79,57.34,51.99,15.54,32.11
20140625 20:19:30,43.19,46.79,57.34,52.0,15.54,32.11
20140625 20:19:31,43.19,46.79,57.34,52.0,15.54,32.11
20140625 20:19:32,43.22,46.79,57.34,51.99,15.54,32.09
20140625 20:19:33,43.22,46.79,57.35,52.0,15.54,32.09
20140625 20:19:34,43.22,46.79,57.35,52.0,15.54,32.09
20140625 20:19:35,43.22,46.79,57.34,52.0,15.54,32.09
20140625 20:19:36,43.22,46.79,57.35,52.0,15.54,32.09
20140625 20:19:37,43.21,46.79,57.35,52.0,15.54,32.09
20140625 20:19:38,43.21,46.79,57.34,52.0,15.54,32.09
20140625 20:19:39,43.21,46.79,57.34,52.0,15.54,32.09
20140625 20:19:40,43.21,46.79,57.34,52.0,15.54,32.09
20140625 20:19:41,43.23,46.79,57.34,52.0,15.54,32.09
20140625 20:19:42,43.23,46.79,57.34,52.0,15.54,32.09
20140625 20:19:43,43.23,46.79,57.34,52.02,15.54,32.09
20140625 20:19:44,43.23,46.79,57.34,52.01,15.54,32.09
20140625 20:19:45,43.23,46.79,57.37,52.01,15.54,32.09
20140625 20:19:46,43.23,46.79,57.36,52.02,15.54,32.09
20140625 20:19:47,43.23,46.79,57.36,52.02,15.54,32.09
20140625 20:19:48,43.23,46.79,57.36,51.98,15.54,32.09
20140625 20:19:49,43.23,46.79,57.36,51.98,15.54,32.09
20140625 20:19:50,43.23,46.79,57.34,52.0,15.54,32.09
20140625 20:19:51,43.23,46.79,57.34,52.0,15.54,32.09
20140625 20:19:52,43.23,46.79,57.34,52.02,15.54,32.1
20140625 20:19:53,43.23,46.79,57.32,52.02,15.54,32.1
20140625 20:19:54,43.23,46.79,57.32,52.02,15.54,32.09
20140625 20:19:56,43.23,46.79,57.32,52.03,15.54,32.09
20140625 20:19:57,43.23,46.79,57.32,52.03,15.54,32.09
20140625 20:19:58,43.23,46.79,57.32,52.03,15.54,32.09
20140625 20:19:59,43.23,46.79,57.32,52.02,15.54,32.09
20140625 20:20:00,43.23,46.79,57.32,52.03,15.54,32.09
20140625 20:20:01,43.23,46.79,57.32,52.03,15.54,32.09
20140625 20:20:02,43.23,46.79,57.32,52.03,15.54,32.09
20140625 20:20:03,43.23,46.79,57.33,52.02,15.54,32.1
20140625 20:20:04,43.23,46.79,57.32,52.03,15.54,32.09
20140625 20:20:05,43.23,46.79,57.32,52.03,15.54,32.09
20140625 20:20:06,43.23,46.79,57.32,52.03,15.54,32.1
20140625 20:20:07,43.23,46.79,57.33,52.05,15.54,32.1
20140625 20:20:08,43.23,46.79,57.33,52.05,15.54,32.1
20140625 20:20:09,43.23,46.79,57.33,52.04,15.54,32.1
20140625 20:20:10,43.23,46.79,57.33,52.05,15.54,32.1
20140625 20:20:11,43.14,46.79,57.33,52.05,15.54,32.1
20140625 20:20:12,43.14,46.79,57.33,52.05,15.54,32.11
20140625 20:20:13,43.14,46.79,57.33,52.04,15.54,32.11
20140625 20:20:14,43.14,46.79,57.33,52.04,15.54,32.1
20140625 20:20:15,43.14,46.79,57.33,52.04,15.54,32.09
20140625 20:20:16,43.13,46.79,57.32,52.04,15.54,32.09
20140625 20:20:17,43.13,46.79,57.32,52.04,15.54,32.09
20140625 20:20:18,43.13,46.79,57.32,52.04,15.54,32.09
20140625 20:20:19,43.13,46.79,57.33,52.04,15.54,32.1
20140625 20:20:20,43.13,46.79,57.33,52.04,15.54,32.1
20140625 20:20:21,43.13,46.79,57.33,52.04,15.54,32.1
20140625 20:20:22,43.13,46.79,57.32,52.04,15.54,32.1
20140625 20:20:23,43.13,46.79,57.32,52.04,15.54,32.1
20140625 20:20:24,43.13,46.79,57.32,52.02,15.54,32.1
20140625 20:20:25,43.13,46.79,57.32,52.02,15.54,32.1
20140625 20:20:26,43.13,46.79,57.32,52.02,15.54,32.1
20140625 20:20:27,43.13,46.79,57.32,52.02,15.54,32.1
20140625 20:20:28,43.13,46.79,57.32,52.02,15.54,32.1
20140625 20:20:29,43.13,46.79,57.31,52.03,15.54,32.1
20140625 20:20:30,43.13,46.79,57.31,52.02,15.54,32.1
20140625 20:20:31,43.13,46.79,57.32,52.02,15.54,32.1
20140625 20:20:32,43.13,46.79,57.32,52.04,15.54,32.09
20140625 20:20:33,43.13,46.79,57.32,52.04,15.54,32.09
20140625 20:20:34,43.13,46.79,57.31,52.03,15.54,32.11
20140625 20:20:35,43.13,46.79,57.31,52.03,15.54,32.09
20140625 20:20:36,43.13,46.79,57.31,52.03,15.54,32.09
20140625 20:20:37,43.13,46.79,57.31,52.02,15.54,32.09
20140625 20:20:38,43.13,46.79,57.31,52.02,15.54,32.11
20140625 20:20:39,43.13,46.79,57.31,52.02,15.54,32.1
20140625 20:20:40,43.1,46.79,57.32,52.01,15.54,32.1
20140625 20:20:41,43.1,46.79,57.32,52.0,15.54,32.09
20140625 20:20:42,43.1,46.79,57.32,52.0,15.54,32.09
20140625 20:20:43,43.1,46.79,57.31,52.0,15.54,32.09
20140625 20:20:44,43.1,46.79,57.31,52.0,15.54,32.09
20140625 20:20:45,43.1,46.79,57.31,52.01,15.54,32.09
20140625 20:20:46,43.1,46.79,57.32,52.01,15.54,32.09
20140625 20:20:47,43.1,46.79,57.31,52.01,15.54,32.09
20140625 20:20:48,43.1,46.79,57.31,52.0,15.54,32.09
20140625 20:20:49,43.1,46.79,57.32,52.0,15.54,32.09
20140625 20:20:50,43.1,46.79,57.32,52.01,15.54,32.09
20140625 20:20:51,43.1,46.79,57.32,52.0,15.54,32.1
20140625 20:20:52,43.1,46.79,57.31,52.0,15.54,32.1
20140625 20:20:53,43.1,46.79,57.31,52.0,15.54,32.1
20140625 20:20:54,43.1,46.79,57.31,52.0,15.54,32.09
20140625 20:20:55,43.09,46.79,57.32,52.0,15.54,32.09
