,C,JPM,USB,WFC,BAC,MS
20140625 20:12:28,42.87,46.75,57.37,52.08,15.61,32.05
20140625 20:12:29,42.89,46.75,57.38,52.07,15.61,32.05
20140625 20:12:30,42.89,46.75,57.38,52.08,15.61,32.05
20140625 20:12:31,42.89,46.75,57.37,52.07,15.61,32.05
20140625 20:12:32,42.89,46.77,57.37,52.06,15.61,32.06
20140625 20:12:33,42.89,46.77,57.37,52.06,15.61,32.06
20140625 20:12:34,42.89,46.75,57.37,52.06,15.61,32.05
20140625 20:12:35,42.89,46.75,57.37,52.07,15.61,32.05
20140625 20:12:36,42.89,46.75,57.37,52.07,15.61,32.05
20140625 20:12:37,42.89,46.75,57.38,52.08,15.6,32.05
20140625 20:12:38,42.89,46.75,57.38,52.06,15.6,32.05
20140625 20:12:39,42.89,46.74,57.41,52.06,15.6,32.05
20140625 20:12:40,42.89,46.75,57.41,52.06,15.6,32.06
20140625 20:12:41,42.89,46.75,57.42,52.06,15.6,32.06
20140625 20:12:42,42.89,46.75,57.41,52.06,15.6,32.05
20140625 20:12:43,42.89,46.75,57.41,52.07,15.6,32.05
20140625 20:12:44,42.89,46.75,57.41,52.07,15.6,32.05
20140625 20:12:45,42.89,46.73,57.41,52.03,15.6,32.05
20140625 20:12:46,42.89,46.77,57.41,52.03,15.6,32.05
20140625 20:12:47,42.89,46.75,57.41,52.03,15.59,32.05
20140625 20:12:48,42.89,46.75,57.41,52.08,15.59,32.07
20140625 20:12:49,42.89,46.77,57.41,52.08,15.59,32.07
20140625 20:12:50,42.89,46.77,57.41,52.09,15.59,32.07
20140625 20:12:51,42.89,46.77,57.41,52.1,15.59,32.09
20140625 20:12:52,42.89,46.77,57.41,52.1,15.59,32.09
20140625 20:12:53,42.89,46.77,57.41,52.07,15.58,32.07
20140625 20:12:54,42.89,46.77,57.41,52.08,15.58,32.07
20140625 20:12:55,42.89,46.77,57.41,52.08,15.58,32.07
20140625 20:12:56,43.01,46.75,57.41,52.08,15.58,32.07
20140625 20:12:57,43.01,46.76,57.41,52.08,15.58,32.07
20140625 20:12:58,43.01,46.76,57.41,52.08,15.58,32.07
20140625 20:12:59,43.01,46.75,57.41,52.07,15.59,32.11
20140625 20:13:00,43.01,46.75,57.41,52.07,15.59,32.11
20140625 20:13:01,43.01,46.75,57.41,52.08,15.59,32.09
20140625 20:13:02,43.01,46.75,57.41,52.08,15.59,32.09
