Server Version: 70
TWS Time at connection:20140703 23:38:31 CST
Market data farm connection is OK:ibdemo
Unhandled errcode:  <error id=-1, errorCode=2107, errorMsg=HMDS data farm connection is inactive but should be available upon demand.demohmds>
HMDS data farm connection is OK:demohmds
<historicalData reqId=1, date=20140703  23:02:00, open=58.41, high=58.43, low=58.38, close=58.39, volume=114, count=65, WAP=58.406, hasGaps=False>
<historicalData reqId=1, date=20140703  23:03:00, open=58.4, high=58.4, low=58.34, close=58.36, volume=89, count=55, WAP=58.366, hasGaps=False>
<historicalData reqId=1, date=20140703  23:04:00, open=58.37, high=58.46, low=58.37, close=58.44, volume=124, count=67, WAP=58.418, hasGaps=False>
<historicalData reqId=1, date=20140703  23:05:00, open=58.47, high=58.55, low=58.46, close=58.55, volume=95, count=58, WAP=58.496, hasGaps=False>
<historicalData reqId=1, date=20140703  23:06:00, open=58.55, high=58.59, low=58.52, close=58.59, volume=94, count=59, WAP=58.565, hasGaps=False>
<historicalData reqId=1, date=20140703  23:07:00, open=58.59, high=58.64, low=58.59, close=58.63, volume=102, count=52, WAP=58.615, hasGaps=False>
<historicalData reqId=1, date=20140703  23:08:00, open=58.61, high=58.63, low=58.55, close=58.55, volume=94, count=58, WAP=58.602, hasGaps=False>
<historicalData reqId=1, date=20140703  23:09:00, open=58.56, high=58.56, low=58.44, close=58.46, volume=110, count=61, WAP=58.487, hasGaps=False>
<historicalData reqId=1, date=20140703  23:10:00, open=58.46, high=58.5, low=58.44, close=58.44, volume=104, count=64, WAP=58.464, hasGaps=False>
<historicalData reqId=1, date=20140703  23:11:00, open=58.44, high=58.46, low=58.43, close=58.43, volume=83, count=55, WAP=58.436, hasGaps=False>
<historicalData reqId=1, date=20140703  23:12:00, open=58.43, high=58.49, low=58.39, close=58.48, volume=93, count=51, WAP=58.424, hasGaps=False>
<historicalData reqId=1, date=20140703  23:13:00, open=58.48, high=58.54, low=58.47, close=58.5, volume=99, count=61, WAP=58.509, hasGaps=False>
<historicalData reqId=1, date=20140703  23:14:00, open=58.47, high=58.48, low=58.41, close=58.44, volume=78, count=56, WAP=58.448, hasGaps=False>
<historicalData reqId=1, date=20140703  23:15:00, open=58.45, high=58.47, low=58.37, close=58.41, volume=100, count=56, WAP=58.429, hasGaps=False>
<historicalData reqId=1, date=20140703  23:16:00, open=58.4, high=58.41, low=58.31, close=58.34, volume=116, count=71, WAP=58.357, hasGaps=False>
<historicalData reqId=1, date=20140703  23:17:00, open=58.34, high=58.34, low=58.3, close=58.34, volume=84, count=51, WAP=58.326, hasGaps=False>
<historicalData reqId=1, date=20140703  23:18:00, open=58.35, high=58.37, low=58.32, close=58.34, volume=92, count=50, WAP=58.348, hasGaps=False>
<historicalData reqId=1, date=20140703  23:19:00, open=58.35, high=58.38, low=58.3, close=58.34, volume=91, count=54, WAP=58.335, hasGaps=False>
<historicalData reqId=1, date=20140703  23:20:00, open=58.35, high=58.42, low=58.32, close=58.42, volume=94, count=63, WAP=58.357, hasGaps=False>
<historicalData reqId=1, date=20140703  23:21:00, open=58.41, high=58.45, low=58.4, close=58.43, volume=115, count=63, WAP=58.427, hasGaps=False>
<historicalData reqId=1, date=20140703  23:22:00, open=58.43, high=58.43, low=58.39, close=58.4, volume=99, count=66, WAP=58.412, hasGaps=False>
<historicalData reqId=1, date=20140703  23:23:00, open=58.41, high=58.43, low=58.38, close=58.4, volume=93, count=57, WAP=58.401, hasGaps=False>
<historicalData reqId=1, date=20140703  23:24:00, open=58.38, high=58.48, low=58.38, close=58.46, volume=82, count=58, WAP=58.433, hasGaps=False>
<historicalData reqId=1, date=20140703  23:25:00, open=58.47, high=58.49, low=58.43, close=58.47, volume=92, count=56, WAP=58.453, hasGaps=False>
<historicalData reqId=1, date=20140703  23:26:00, open=58.47, high=58.47, low=58.36, close=58.38, volume=90, count=61, WAP=58.418, hasGaps=False>
<historicalData reqId=1, date=20140703  23:27:00, open=58.39, high=58.43, low=58.35, close=58.4, volume=91, count=62, WAP=58.383, hasGaps=False>
<historicalData reqId=1, date=20140703  23:28:00, open=58.4, high=58.43, low=58.37, close=58.4, volume=94, count=53, WAP=58.405, hasGaps=False>
<historicalData reqId=1, date=20140703  23:29:00, open=58.38, high=58.38, low=58.32, close=58.34, volume=73, count=51, WAP=58.353, hasGaps=False>
<historicalData reqId=1, date=20140703  23:30:00, open=58.32, high=58.34, low=58.27, close=58.28, volume=89, count=62, WAP=58.299, hasGaps=False>
<historicalData reqId=1, date=20140703  23:31:00, open=58.29, high=58.31, low=58.22, close=58.22, volume=106, count=57, WAP=58.258, hasGaps=False>
<historicalData reqId=1, date=20140703  23:32:00, open=58.23, high=58.25, low=58.11, close=58.13, volume=97, count=55, WAP=58.175, hasGaps=False>
